26, [[1016, 430, 22], [2, -8, -1]]
42, [[1044, 356, 20], [-2, 46, 13]]
48, [[1050, 338, 17], [0, -2, 0]]
49, [[1052, 336, 17], [2, -2, 0]]
50, [[1054, 334, 16], [2, -2, -1]]
51, [[1054, 330, 16], [0, -4, 0]]
52, [[1056, 328, 16], [2, -2, 0]]
53, [[1056, 326, 16], [0, -2, 0]]
55, [[1058, 324, 16], [2, 0, 0]]
56, [[1060, 322, 16], [2, -2, 0]]
57, [[1060, 320, 15], [0, -2, -1]]
58, [[1062, 320, 15], [2, 0, 0]]
62, [[1064, 314, 14], [-4, -6, -1]]
92, [[1086, 322, 12], [0, 2, 0]]
98, [[1090, 328, 12], [2, 2, 0]]
100, [[1090, 330, 11], [-2, 0, -1]]
101, [[1090, 330, 12], [0, 0, 1]]
102, [[1090, 332, 13], [0, 2, 1]]
107, [[1092, 340, 10], [2, 0, -7]]
109, [[1092, 344, 11], [-2, 4, 8]]
110, [[1094, 346, 10], [2, 2, -1]]
111, [[1094, 348, 12], [0, 2, 2]]
112, [[1094, 350, 11], [0, 2, -1]]
121, [[1096, 370, 11], [2, 4, 8]]
122, [[1098, 372, 10], [2, 2, -1]]
123, [[1098, 374, 10], [0, 2, 0]]
124, [[1098, 378, 10], [0, 4, 0]]
125, [[1098, 380, 10], [0, 2, 0]]
127, [[1098, 384, 10], [0, 2, 0]]
26, [[1014, 428, 20], [0, -10, 3]]
48, [[1050, 336, 16], [0, -4, -1]]
50, [[1054, 332, 16], [4, 0, 1]]
51, [[1054, 330, 16], [0, -2, 0]]
52, [[1056, 328, 16], [2, -2, 0]]
55, [[1058, 324, 16], [-2, 0, 0]]
56, [[1060, 322, 16], [2, -2, 0]]
58, [[1062, 320, 15], [0, 0, -1]]
62, [[1066, 316, 15], [4, -4, 3]]
63, [[1064, 314, 15], [-2, -2, 0]]
26, [[1014, 428, 20], [0, -10, 3]]
48, [[1050, 336, 16], [0, -4, -1]]
50, [[1054, 332, 16], [4, 0, 1]]
51, [[1054, 330, 16], [0, -2, 0]]
52, [[1056, 328, 16], [2, -2, 0]]
55, [[1058, 324, 16], [-2, 0, 0]]
56, [[1060, 322, 16], [2, -2, 0]]
58, [[1062, 320, 15], [0, 0, -1]]
26, [[1014, 428, 20], [0, -10, 3]]
26, [[1014, 428, 20], [0, -10, 3]]
48, [[1050, 336, 16], [0, -4, -1]]
50, [[1054, 332, 16], [4, 0, 1]]
51, [[1054, 330, 16], [0, -2, 0]]
52, [[1056, 328, 16], [2, -2, 0]]
55, [[1058, 324, 16], [-2, 0, 0]]
56, [[1060, 322, 16], [2, -2, 0]]
58, [[1062, 320, 15], [0, 0, -1]]
62, [[1066, 316, 15], [4, -4, 3]]
63, [[1064, 314, 15], [-2, -2, 0]]
101, [[1090, 332, 11], [0, 2, 0]]
102, [[1090, 334, 11], [0, 2, 0]]
103, [[1090, 334, 12], [0, 0, 1]]
104, [[1092, 336, 11], [2, 2, -1]]
